S.No,COURSE NAME,TEXT BOOK/REFERENCE,AUTHOR,EDITION,PUBLISHER,YEAR,COLLEGE,BOOK URL,IMAGE URL
1,Digital Principles andComputer Organization,"T - Digital Design : With an Introduction to the Verilog HDL,VHDL, and System Verilog","M. Morris Mano, Michael D. Ciletti",6,Pearson Education,2018,Anna University,"https://unidel.edu.ng/focelibrary/books/Digital%20Design%20With%20an%20Introduction%20to%20the%20Verilog%20HDL,%20VHDL,%20and%20SystemVerilog%20by%20M.%20Morris%20R.%20Mano%20%20Michael%20D.%20Ciletti%20(z-lib.org).pdf",https://www.booksb2bportal.com/covers/31/9781938549816_L.jpg
2,Digital Principles andComputer Organization,"T - Computer Organization and Design, The Hardware/Software Interface","David A. Patterson, John L. Hennessy",6,Morgan Kaufmann/Elsevier,2020,Anna University,http://staff.ustc.edu.cn/~llxx/cod/reference_books/Computer%20Organization%20and%20Design%204th.pdf,"https://m.media-amazon.com/images/I/71UfLO8-cqS._AC_UF1000,1000_QL80_.jpg"
3,Digital Principles andComputer Organization,R - Computer Organization and Embedded Systems,"Carl Hamacher, Zvonko Vranesic, Safwat Zaky, Naraig Manjikian",6,Tata McGraw-Hill,2012,Anna University,https://v2vclass.com/images/coursepdf/bsc-cssem1/bsc-cssem1/co/fy-cs.pdf,https://padhegaindia.in/wp-content/uploads/2024/02/9789355323729-1.webp
4,Digital Principles andComputer Organization,R - Computer Organization and Architecture – Designing for Performance,William Stallings,10,Pearson Education,2016,Anna University,https://bcrti.co.in/digitallibrary/includeFolder/noticeFolder/21102611512388.pdf,https://campusbookhouse.com/wp-content/uploads/2023/06/5-2.jpg
5,Digital Principles andComputer Organization,R - Digital Logic and Computer Design,M. Morris Mano,N/A,Pearson Education,2016,Anna University,https://dpvipracollege.in/wp-content/uploads/2023/01/Digital-Logic-Computer-Design.pdf,"https://m.media-amazon.com/images/I/41aqH42vY-L._AC_UF1000,1000_QL80_.jpg"
6,Data Structures,T - Data Structures and Algorithm Analysis in C,Mark Allen Weiss,2,Pearson Education,2005,Anna University,https://mrajacse.wordpress.com/wp-content/uploads/2012/08/data-structures-and-algorithm-analysis-in-c-mark-allen-weiss.pdf,https://cdn01.sapnaonline.com/product_media/9788131714744/md_9788131714744_201120231034790.jpg
7,Data Structures,T - Introduction to Data Structures in C,Kamthane,1,Pearson Education,2007,Anna University,https://cet.edu.in/noticefiles/280_DS%20Complete.pdf,"https://m.media-amazon.com/images/I/51UnzBFsquL._AC_UF1000,1000_QL80_.jpg"
8,Data Structures,R -  Data Structures Using C and C++,"Langsam, Augenstein and Tanenbaum",2,Pearson Education,2015,Anna University,https://repository.dinus.ac.id/docs/ajar/Principles_of_Data_Structures_Using_C_and_C++.pdf,"https://m.media-amazon.com/images/I/81YqUIwxjKL._AC_UF1000,1000_QL80_.jpg"
9,Data Structures,R - Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L.Rivest, Clifford Stein",4,Mcgraw Hill/ MIT Press,2022,Anna University,https://dl.ebooksworld.ir/books/Introduction.to.Algorithms.4th.Leiserson.Stein.Rivest.Cormen.MIT.Press.9780262046305.EBooksWorld.ir.pdf,"https://m.media-amazon.com/images/I/61ZYxrQEpCL._AC_UF1000,1000_QL80_.jpg"
10,Data Structures,"R - ,Data Structures and Algorithms","Alfred V. Aho, Jeffrey D. Ullman,John E. Hopcroft",1,Pearson,2002,Anna University,https://ggnindia.dronacharya.info/Downloads/Sub-info/RelatedBook/Data-Structure-Algorithms-Text-Book-1.pdf,"https://m.media-amazon.com/images/I/71kBRLo8ZtL._AC_UF1000,1000_QL80_.jpg"
11,Data Structures,R -  Data Structures and Program Design in C,Kruse,2,Pearson Education,2006,Anna University,https://cet.edu.in/noticefiles/280_DS%20Complete.pdf,"https://m.media-amazon.com/images/I/71E4+-VhRBL._AC_UF1000,1000_QL80_.jpg"
12,Object Oriented Programming,T - Java: The Complete Reference,Herbert Schildt,11,"McGraw Hill Education, New Delhi",2019,Anna University,https://stjohnscollege.edu.in/web/wp-content/uploads/2022/01/javathecompletereference.pdf,"https://m.media-amazon.com/images/I/71AF8eZ5A5L._AC_UF1000,1000_QL80_.jpg"
