S.NO,COURSE NAME,TEXT BOOK/REFERENCE,AUTHOR,EDITION,PUBLISHER,YEAR,BOOK URL,IMAGE URL
1,Data Structures,T - Data Structures and Algorithm Analysis in C,Weiss M.A.,2,Pearson Education,2016,https://mrajacse.wordpress.com/wp-content/uploads/2012/08/data-structures-and-algorithm-analysis-in-c-mark-allen-weiss.pdf,https://rukminim2.flixcart.com/image/850/1000/xif0q/regionalbooks/p/i/t/data-structures-and-algorithm-analysis-in-c-old-used-book-original-imagut2jbqzfmqhg.jpeg?q=90&crop=false
2,Data Structures,R - Data Structures using C and C++,"Thomas H. Cormen, Charles E. Leiserson",3,Mcgraw Hill,2009,https://bu.edu.eg/portal/uploads/Computers%20and%20Informatics/Computer%20Science/1266/crs-10600/Files/Esam%20Halim%20Houssein%20Abd%20El-Halim_4-%20Data-Structure%20Using%20C++%20Malik.pdf,"https://m.media-amazon.com/images/I/81qJNYy23IL._AC_UF1000,1000_QL80_.jpg"
3,Data Structures,R - Data Structures using C and C++,"Langsam Y.M., Augenstein J. and Tenenbaum A. M",2,Pearson Education,2015,https://books.google.co.in/books?id=X0Cd1Pr2W0gC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,https://books.google.co.in/books/content?id=X0Cd1Pr2W0gC&pg=PP1&img=1&zoom=3&hl=en&sig=ACfU3U16bOQs89lKwPtIesbwYRIQXKeQGQ&w=1280
4,Computer Organization,T - Computer Organization and Embedded Systems,"Carl Hamacher, ZvonkoVranesic, SafwatZaky and NaraigManjikian",6,McGraw Hill International Edition,2012,https://v2vclass.com/images/coursepdf/bsc-cssem1/bsc-cssem1/co/fy-cs.pdf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBtaQmIwUo9an-WvzG920wMH15rEXw2YFCog&s
5,Computer Organization,R - Computer Organization and Design: The Hardware / Software Interface,"Patterson David, A. and Hennessy John L.",5,"Harcourt Asia, Morgan Kaufmann",2014,https://www.cse.iitd.ac.in/~rijurekha/col216/edition5.pdf,"https://m.media-amazon.com/images/I/71UfLO8-cqS._AC_UF1000,1000_QL80_.jpg"
6,Computer Organization,R - Computer Organization and Architecture: Designing for Performance,Stallings William,9,Pearson Education,2012,https://bcrti.co.in/digitallibrary/includeFolder/noticeFolder/21102611512388.pdf,"https://m.media-amazon.com/images/I/7128Ts1XUdL._AC_UF1000,1000_QL80_.jpg"
7,Computer Organization,R -  Computer System Architecture,M. Morris Mano,3,Pearson Education,2012,https://mis.alagappauniversity.ac.in/siteAdmin/dde-admin/uploads/5/__UG_B.Sc._Computer%20Science_130%2053%20-%20Computer%20Architecture_7312.pdf,"https://m.media-amazon.com/images/I/81Ve58ZJLEL._AC_UF1000,1000_QL80_.jpg"
8,Java Programming,T - Java: The Complete Reference,Herbert Schildt.,12,McGraw Hill Education,2019,https://stjohnscollege.edu.in/web/wp-content/uploads/2022/01/javathecompletereference.pdf,"https://m.media-amazon.com/images/I/71AF8eZ5A5L._AC_UF1000,1000_QL80_.jpg"
9,Java Programming,"T - Hands-on Application Development using Spring Boot: Building Modern Cloud Native Applications by Learning RESTFul API, Microservices, CRUD Operations, Unit Testing, and Deployment",Shagun Bakliwal,1,BPB Publications,2021,Not Available,https://is1-ssl.mzstatic.com/image/thumb/Publication116/v4/42/d5/bc/42d5bc9f-f46c-4840-e03e-0e7ddc66a388/0000791994.jpg/1200x1200wz.jpg
10,Java Programming,R - Core Java Fundamentals,Cay S.Horstmann.,11,Prentice Hall,2018,https://ptgmedia.pearsoncmg.com/images/9780137673629/samplepages/9780137673629_Sample.pdf,"https://m.media-amazon.com/images/I/61tv9vyDz2L._AC_UF1000,1000_QL80_.jpg"
11,Database Management System,T - Database System Concepts,"Silberschatz Abraham, Korth Henry F. and Sudarshan S",7,McGraw Hill,2019,https://db-book.com/,https://cdn.bookey.app/files/publish-book/Database%20System%20Concepts8792768.jpg
12,Database Management System,R - Fundamental Database Systems,ElmasriRamez and NavatheShamkant B.,7,Pearson Education,2017,https://www.auhd.edu.ye/upfiles/elibrary/Azal2020-01-22-12-28-11-76901.pdf,"https://m.media-amazon.com/images/I/81rEY-cvtDL._AC_UF1000,1000_QL80_.jpg"
13,Database Management System,R - An Introduction to Database Systems,"Date C.J., Kannan A. and Swamynathan S.",8,Pearson Education,2013,https://lc.fie.umich.mx/~rodrigo/BD/An%20Introduction%20to%20Database%20Systems%208e%20By%20C%20J%20Date.pdf,"https://m.media-amazon.com/images/I/61+1+637xKL._AC_UF1000,1000_QL80_.jpg"
14,Operating Systems,T - Operating System Concepts,"Silberschatz, Peter Baer Galvin and Greg Gagne",10,John Wiley & Sons Inc.,2018,https://os.ecci.ucr.ac.cr/slides/Abraham-Silberschatz-Operating-System-Concepts-10th-2018.pdf,"https://m.media-amazon.com/images/I/81SwKCia7VL._AC_UF1000,1000_QL80_.jpg"
15,Operating Systems,R - Operating Systems Internals and Design Principles,William Stallings,9,Prentice Hall,2018,https://repository.dinus.ac.id/docs/ajar/Operating_System.pdf,"https://m.media-amazon.com/images/I/51yabXb4t7L._AC_UF1000,1000_QL80_.jpg"
16,Operating Systems,R - Modern Operating Systems,Andrew S. Tanenbaum,4,Pearson Education,2016,https://csc-knu.github.io/sys-prog/books/Andrew%20S.%20Tanenbaum%20-%20Modern%20Operating%20Systems.pdf,https://pragationline.com/wp-content/uploads/2021/11/MODERN-OPERATING-SYSTEMS-ANDREW-S.-TENENBAUM.jpg
17,Python Programming And Frameworks,T - Think Python: How to Think Like a Computer Scientist ,Allen B. Downey,1,O’Reilly Publishers,2016,https://www.greenteapress.com/thinkpython/thinkCSpy.pdf,https://freecomputerbooks.com/covers/How-to-Think-Like-a-Computer-Scientist-Learning-with-Python.jpg
18,Python Programming And Frameworks,T - Python Data Science Handbook Essential Tools for Working with Data,Jake Vander Plas,1,O’Reilly Publishers,2019,https://jakevdp.github.io/PythonDataScienceHandbook/,"https://m.media-amazon.com/images/I/81Eo0DdsXSL._AC_UF1000,1000_QL80_.jpg"
19,Python Programming And Frameworks,R - Python: The Complete Reference,Martin C Brown,4,McGraw Hill Education,2018,Not Available,"https://m.media-amazon.com/images/I/51y1U5JPfyL._AC_UF1000,1000_QL80_.jpg"
20,Design And Analysis Of Algorthim,T - Introduction to the Design and Analysis of Algorithms,Anany Levitin,3,Pearson Education,2012,https://homel.vsb.cz/~fai0013/Kniha_Algoritmy.pdf,"https://m.media-amazon.com/images/I/81FraWgsXXL._AC_UF1000,1000_QL80_.jpg"
21,Design And Analysis Of Algorthim,R - Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest and Clifford Stein",3,Prentice Hall,2009,https://dl.ebooksworld.ir/books/Introduction.to.Algorithms.4th.Leiserson.Stein.Rivest.Cormen.MIT.Press.9780262046305.EBooksWorld.ir.pdf,"https://m.media-amazon.com/images/I/61ZYxrQEpCL._AC_UF1000,1000_QL80_.jpg"
22,Design And Analysis Of Algorthim,R - Data Structures and Algorithms,"Alfred V. Aho, John E. Hopcroft and Jeffrey D. Ullman",4,Pearson Education,2006,https://ggnindia.dronacharya.info/Downloads/Sub-info/RelatedBook/Data-Structure-Algorithms-Text-Book-1.pdf,"https://m.media-amazon.com/images/I/71kBRLo8ZtL._AC_UF1000,1000_QL80_.jpg"
23,Internet Of Things And Cloud Computing,T - Internet of Things - A Hands-on Approach,Arshdeep Bahga and Vijay Madisett,1,Universities Press,2015,https://www.scribd.com/document/513453064/Internet-of-Things-a-Hands-On-Approach-by-Arshdeep-Bahga-Vijay-Madisetti,"https://m.media-amazon.com/images/I/61AOGjyzeAL._AC_UF1000,1000_QL80_.jpg"
24,Internet Of Things And Cloud Computing,"T - The Internet of Things: Enabling Technologies, Platforms, and Use Cases",Pethuru Raj and Anupama C. Raman,1,CRC Press,2017,https://kdkce.edu.in/writereaddata/fckimagefile/unit%204%20cloud.pdf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsNvxinHdcR9fQlvlkZjj-6BCWfV_B27NFBe4DLspzoegiCffrqsfENp9cQ6L6kYddYZU&usqp=CAU
25,Internet Of Things And Cloud Computing,"R - IoT Fundamentals: Networking Technologies, Protocols and Use Cases for Internet of Things","David Hanes, Gonzalo Salgueiro, Patrick Grossetete, Rob Barton and Jerome Henry",1,Cisco Press,2017,https://ptgmedia.pearsoncmg.com/images/9781587144561/samplepages/9781587144561_CH08.pdf,https://media.springernature.com/w153/springer-static/cover/book/978-3-030-70080-5.jpg
26,Internet Of Things And Cloud Computing,R - Cloud Computing: Principles and Paradigms,"Rajkumar Buyya, James Broberg & Andrzej M. Goscinski",1,Wiley,2013,http://dhoto.lecturer.pens.ac.id/lecture_notes/internet_of_things/CLOUD%20COMPUTING%20Principles%20and%20Paradigms.pdf,"https://m.media-amazon.com/images/I/51p63Z2ONLL._UF1000,1000_QL80_.jpg"
27,Agile Methodologies,T - Software Engineering: A Practitioner‘s Approach,Roger S.Pressman & Bruce R.Maxim,8,McGraw-Hill Education,2019,https://www.mlsu.ac.in/econtents/16_EBOOK-7th_ed_software_engineering_a_practitioners_approach_by_roger_s._pressman_.pdf,https://www.mheducation.co.in/media/catalog/product/cache/081b8c22b4dd107671c14f517fd777a1/9/7/9789355325044.jpeg
28,Agile Methodologies,"T -  Learning Agile: Understanding Scrum, XP, Lean, and Kanban",Andrew Stellman and Jennifer Greene,1,O’Reilly Media ,2015,https://ecole-management.com/BOOKS/2.pdf,"https://m.media-amazon.com/images/I/91XXWcYLlaL._AC_UF1000,1000_QL80_.jpg"
